"HolderAddress","Balance","PendingBalanceUpdate"
"0x0000000000000000000000000000000000000000","1E-15","No"
"0x00408463a1cd694913eca7841085980229fb0381","3.30971E-13","No"
"0x008c068bfd922e3eb7d14e31ecf0daa1e04f906f","1.21866E-13","No"
"0x0334eaec00aa84acd054a52fd9057082687dc7ce","9.46096E-13","No"
"0x0381a7fef3a65c875ba2543e0bc9c99bfc88868c","1.74468E-13","No"
"0x0401b5a3081bf400ef423036444d9c51fd505417","1.05876E-13","No"
"0x0459560393f91e13755c0aff82564daf199dca64","1.944926E-12","No"
"0x057a5260e9bacf381b19b8bc6a1b9764d037e8f0","1.6969E-14","No"
"0x05a84dac7d722e3313b5c94e2681baac3427ba76","4.11273E-13","No"
"0x05eb7f0ebcfc8bee7d5283521a08ebef149569ed","2.5443E-14","No"
"0x0608576ea47b265f1f16b8b8383d0508f703a0cb","3.10999E-13","No"
"0x06311476c265d99a536f8fbc9c999aa9b43197ec","7.6388E-14","No"
"0x067cd091d9bd71ada076abea29147a1b3c801e88","7.0681E-14","No"
"0x071f83613969c9644cb0a5a65e9a4ac0e62a5000","5.4388E-14","No"
"0x072155dbef6fca96e8a66c07228d1fb974997901","2.95644E-13","No"
"0x0734e898d0b14471da232303037a330189e66c1a","2.79992E-13","No"
"0x082acffb521180d9244246c9f16438f8215b7917","1.04563E-13","No"
"0x096339c333e7369e96abaa72f0f031bee8884967","1.86426E-13","No"
"0x09f718c2588668b9226933f4c30adb748e1aaa0f","4.352E-15","No"
"0x0a83efd6089c6e219d9c13969804d44afeb3377d","3.63E-16","No"
"0x0ab5c9d669295b01f04ef1280af8634c51254811","2.71699E-13","No"
"0x0acf1b98ae3a2084b729797116b0f5ad8d86a3ee","1.74468E-13","No"
"0x0c85441e222d24964c9e6691ba2bb3ba084c1264","5.042E-15","No"
"0x0eeb564bff06828879a9024a6d846560f355b504","1.8E-14","No"
"0x0f0f623b5defae43777a53880a6e32c6d2b0a1aa","3.12959E-13","No"
"0x0fc173ed8296d8bbdeb4ecc6c8bb4ebffea2b7da","7.2539E-14","No"
"0x1065c42eb80fbca15df48cab5a24836e7c70e8a3","7.40236E-13","No"
"0x10bed9b16d93e6cd1a72e4cd7ed1b83a1f29fae8","2.25E-14","No"
"0x10d191648f6b182ea4069ae0abf261812f0a731f","3.6658E-14","No"
"0x11755914c6fc0fc0c113dfd0d091da5a4d40d33c","2.10243E-13","No"
"0x12118e36b79b1f3e8984542052c26032325dc46a","3.00675E-13","No"
"0x1527af5586d8c36cf1d06bf31a04c8e8236c4f73","2.037788E-12","No"
"0x152de45977ab48a88972b79eec3433beb1e7f4eb","8.856E-15","No"
"0x16304dae95525d603e2c15ab385c5463a6b2113b","2.85533E-13","No"
"0x19d8cdd289acec531568d98136bb08e3c2a4c08a","7.98154E-13","No"
"0x1b425b44046051300732e4ddd5e077c769e6c96c","1.74468E-13","No"
"0x1b81089221da8b86931dc1d04d0771baac7ebc4c","1.08204E-13","No"
"0x1d9565f8b802993f052b3b78a171fa5ac8775ab6","1.83777E-13","No"
"0x1e13898f3d82781d657ab1410b61e6e32a724a5c","2.2745E-14","No"
"0x1fc732cbf9f4d529aa5d820ae036c94da0e76913","1.983207E-12","No"
"0x2182a2b096d5fd23260bd1702d6486eb65757c4c","1.76122E-13","No"
"0x23e891941f2cc4dcac0cf407069b9aee8113f558","3.15405E-13","No"
"0x24a9ed320a97500c039f6e859c6dd820f6eaad2a","1.28332E-13","No"
"0x25d28685e149e105cfffb1dc39b22aa2185ab361","3.6269E-14","No"
"0x263a13fbe5416661d8ff67c5d98624d1553900ae","5.55572E-13","No"
"0x266cb91079f70625a60cad4c274aa7dbd6b2d234","3.7524E-14","No"
"0x26bb4c33ade6e58578cb09e6a41dfaffd720be15","2E-14","No"
"0x2836cfcc14d89ccf0b0a980e5605f24fa0a4a735","3.58527E-13","No"
"0x28615a5eb4985501e0c5429dd32f8a203fa08175","1.75761E-13","No"
"0x2a3fbec97522f82a2b817d6c5bb5d4fe1619b8bd","3.46311E-13","No"
"0x2af792598de8d1014399c8ad4c689bd28cd1446b","1.876247E-12","No"
"0x2c2bec2e00aa3ba109779d55410dcb4e6049b4c9","2.6869E-14","No"
"0x2c879af71ae8d1d2a9321558e069148d48225b72","1.869385E-12","No"
"0x2db216b512cf33053a074aa1716c7281647d905e","6.14258E-12","No"
"0x2e048f2e69d55041a665645cabe1fa624f5f19bb","2E-14","No"
"0x2e1440d9fb2930ea27b469ab699e1a973eecd562","2.06403E-13","No"
"0x303a8038414111c21bb708b3a677af3b58ff4ad2","5.4867E-14","No"
"0x313bdc9726d8792ec4bd8531caa52a1dd82bd4ea","3.5445E-13","No"
"0x3283071ba455f98d474f2c2d926861f90a3f1e42","3.6269E-14","No"
"0x32dddd527c295cff53a368f30f5ea33f9f1d172b","3.85506E-13","No"
"0x36ebbc8ac514cd8d2061632b89f2e445a3f55f08","3.03884E-13","No"
"0x377a22a7770dbc2e205fd4ee4f0e8a7481ff3fc3","1.75061E-13","No"
"0x3837e2c3ba88d3706fab9337b4337a8d0baeb06c","9.00616E-13","No"
"0x384f2f93517b56bdf552dd822e0456c4fa998fff","2.8259E-14","No"
"0x38ab300217c13c754ef3333e06ce9a1e5f8358e2","4.07568E-13","No"
"0x39b066415676efc8e105597aa114792b49e2af97","2.125E-14","No"
"0x3af03730206d3ee07fe92cc875fc72dd353e60c5","2.702329E-12","No"
"0x3aff0c2b95b46195e719c7256eebf7fc255f9c35","1.85029E-13","No"
"0x3b154e941341fc7435f407ee0f18782e03d2a33a","4.682E-15","No"
"0x3bd7d01a8210e884b43cc773933463bff4fa0abf","6.45883E-13","No"
"0x3c382d9f262da67205650736a51e32204596399a","3.04775E-13","No"
"0x3ea055fd63fed4f3c4c22ec9baf2732d8cb2c5bf","1.71625E-13","No"
"0x3ed61895bc00f43d6dafb573d942eb672035edc1","4.938491E-12","No"
"0x401d1ef2b9a818e7fb0c844d1acc587e24b9dd98","1.415512E-12","No"
"0x410ef4df49583daeec7a3cb09f85c2a9ee658afd","8.78428E-13","No"
"0x41cfb96bdf9d9074949447585a4387453a659436","2.63354E-13","No"
"0x420ee4d8c1cba9e4caab3f473625499cbfbd9037","3.02851E-13","No"
"0x42dcd554cfc9d487bd14b8ab4df83a5fd9b1b6bc","2.90157E-13","No"
"0x43d5e21256d170e87c4da4852b1c3abe697ca031","1.9E-14","No"
"0x4535b4299527ca0a0b42fae2b744cee1fbb47727","2.87983E-13","No"
"0x45d198c91f196d29fca0cf9eb77a371dd45a38ba","1.7653E-14","No"
"0x45f51de9e88f2e3f585ea079f9de727374209b7e","1.4082E-14","No"
"0x4735c7a152b4262321c2362a75dccc966530f434","7.12214E-13","No"
"0x473d56155792651b1535601ce2f8583916182ef0","3.03884E-13","No"
"0x4825f4c1b651ece01955f2f6f80e4f33862d1837","1.0626936E-11","No"
"0x48a7f638ba168cd1446f17899a4c398fb7feaf13","3.17221E-13","No"
"0x497f1fdaa954c24dbf1a03c6a974babc6fa8d7dc","3.05155E-13","No"
"0x49a2aa207dd41a40659debd36e8f583d98795939","4.38E-16","No"
"0x4a37caa373ba21dcaeb66a3c0856f919f5ac0ed6","2E-14","No"
"0x4ac4ff89b9d4b3daf54942e3df63751a4a54c735","6.5013E-14","No"
"0x4b02b4c1515f27ffacff9a9ecef9cde337c49eff","3.88985E-13","No"
"0x4b8833a946ee74a6a9586efd6fdf792fb9b6c404","2.125E-14","No"
"0x4c201a7839cc7d0abe1b9de2c6407e36fa723601","2.98866E-13","No"
"0x4dac82a9bc5a19545e80fcf8ce7e273f8da2892e","7.0698E-14","No"
